id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
27578,YGAW,small_airport,Gawler Airport,-34.599934,138.719055,70,OC,AU,AU-SA,,0,YGAW,,,,,,50,2018-07-20T03:42:02+00:00
27636,YIMB,small_airport,Kimba Airport,-33.09999847,136.4600067138670,232,OC,AU,AU-SA,,0,YIMB,,,,,,50,2008-06-26T14:52:34+00:00
27639,YINN,small_airport,Innamincka Airport,-27.70000076,140.73300170898400,54,OC,AU,AU-SA,,0,YINN,INM,,,,,50,2008-06-26T14:52:34+00:00
27673,YKDI,small_airport,Kadina Airport,-33.97669983,137.66000366210900,42,OC,AU,AU-SA,,0,YKDI,,,,,,50,2008-06-26T14:52:34+00:00
27682,YKIG,small_airport,Kingston Airport,-36.82329941,139.875,2,OC,AU,AU-SA,,0,YKIG,,,,,,50,2008-06-26T14:52:34+00:00
27784,YMLD,small_airport,Maitland Airport,-34.39279938,137.7169952392580,,OC,AU,AU-SA,,0,YMLD,,,,,,50,2008-06-26T14:52:34+00:00
27803,YMRE,small_airport,Marree Airport,-29.66329956,138.06500244140600,50,OC,AU,AU-SA,,0,YMRE,RRE,,,,,50,2008-06-26T14:52:34+00:00
27812,YMTX,small_airport,Mount Dare Airport,-26.06170082,135.2469940185550,,OC,AU,AU-SA,,0,YMTX,,,,,,50,2008-06-26T14:52:34+00:00
27854,YNUB,small_airport,Nullabor Motel Airport,-31.44169998,130.90199279785200,67,OC,AU,AU-SA,,0,YNUB,NUR,,,,,50,2008-06-26T14:52:34+00:00
27939,YRYK,small_airport,Rawnsley Park Airport,-31.65352821,138.60952758789100,,OC,AU,AU-SA,,0,YRYK,,,,,,50,2008-08-14T10:28:31+00:00
27990,YTIN,small_airport,Tintinara Airport,-35.86669922,140.06700134277300,,OC,AU,AU-SA,,0,YTIN,,,,,,50,2008-06-13T14:30:04+00:00
28094,YYOR,small_airport,Yorketown Airport,-35,137.61700439453100,,OC,AU,AU-SA,,0,YYOR,ORR,,,,,50,2008-06-26T14:52:34+00:00
38515,YNIN,small_airport,Meningie Airport,-35.70000076,139.33299255371100,,OC,AU,AU-SA,,0,YNIN,,,,,,50,2008-08-01T07:46:27+00:00
38534,YOOK,small_airport,Cook Airport,-30.61829948,130.4060059,,OC,AU,AU-SA,,0,YOOK,,,,,,50,2008-08-01T07:47:16+00:00
27967,YSTH,small_airport,St Helens Airport,-41.33670044,148.28199768066400,48,OC,AU,AU-TAS,,0,YSTH,HLS,,,http://en.wikipedia.org/wiki/St_Helens_Airport,,50,2008-06-26T14:52:34+00:00
28072,YWRT,small_airport,Waratah Airport,-41.45000076,145.5500030517580,,OC,AU,AU-TAS,,0,YWRT,,,,,,50,2008-06-26T14:52:34+00:00
38315,YDAR,small_airport,Darlington Airport,-42.57274087,148.0691814,,OC,AU,AU-TAS,,0,YDAR,,,,,,50,2010-10-03T19:15:52+00:00
38478,YMLC,small_airport,Mole Creek Airport,-41.53329849,146.33299255371100,,OC,AU,AU-TAS,,0,YMLC,,,,,,50,2008-08-01T07:44:59+00:00
27335,YAPO,small_airport,Apollo Bay Airport,-38.77493023,143.6611748,,OC,AU,AU-VIC,,0,YAPO,,,,,,50,2013-06-16T08:15:28+00:00
