_id,city1,city2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
558,adelaide,perth,Feb-85,15134,116,86.6,2120,32084080,37048591,17476,1985,2
559,adelaide,sydney,Feb-85,26014,296,66.1,1167,30358338,45927894,39356,1985,2
560,albury,sydney,Feb-85,9954,173,81.8,452,4499208,5500254,12169,1985,2
561,alice springs,darwin,Feb-85,6627,66,69.7,1305,8648235,12407798,9508,1985,2
562,alice springs,sydney,Feb-85,2006,26,57.4,2022,4056132,7066432,3495,1985,2
563,brisbane,cairns,Feb-85,87,8,31.5,1391,121017,384181,276,1985,2
564,brisbane,canberra,Feb-85,272,6,41.6,956,260032,625077,654,1985,2
565,brisbane,darwin,Feb-85,561,8,48.7,2852,1599972,3285363,1152,1985,2
566,brisbane,mackay,Feb-85,0,9,0.0,797,0,0,0,1985,2
567,brisbane,melbourne,Feb-85,16984,229,66.3,1381,23454904,35376929,25617,1985,2
568,brisbane,perth,Feb-85,285,4,49.5,3615,1030275,2081364,576,1985,2
569,brisbane,proserpine,Feb-85,2344,85,28.1,895,2097880,7465765,8342,1985,2
570,brisbane,rockhampton,Feb-85,16605,242,70.5,518,8601390,12200553,23553,1985,2
571,brisbane,sydney,Feb-85,70938,917,54.0,753,53416314,98919100,131367,1985,2
572,brisbane,townsville,Feb-85,26613,345,77.7,1112,29593656,38087073,34251,1985,2
573,broome,perth,Feb-85,400,8,76.6,1677,670800,875718,522,1985,2
574,canberra,melbourne,Feb-85,29255,369,62.6,470,13749850,21964617,46733,1985,2
575,canberra,sydney,Feb-85,43633,701,60.3,236,10297388,17076929,72360,1985,2
576,coffs harbour,sydney,Feb-85,5432,139,75.8,443,2406376,3174639,7166,1985,2
577,devonport,melbourne,Feb-85,7049,198,83.7,412,2904188,3469759,8422,1985,2
578,dubbo,sydney,Feb-85,5432,135,76.2,310,1683920,2209869,7129,1985,2
579,gold coast,sydney,Feb-85,27583,369,68.9,680,18756440,27222700,40033,1985,2
580,hobart,melbourne,Feb-85,19077,320,57.2,618,11789586,20611164,33351,1985,2
581,kalgoorlie,perth,Feb-85,5757,210,65.7,538,3097266,4714256,8763,1985,2
582,karratha,perth,Feb-85,7608,197,57.7,1250,9510000,16481802,13185,1985,2
583,launceston,melbourne,Feb-85,33014,552,77.3,476,15714664,20329449,42709,1985,2
584,melbourne,burnie,Feb-85,6424,187,86.1,378,2428272,2820293,7461,1985,2
585,melbourne,gold coast,Feb-85,7952,76,75.2,1330,10576160,14064043,10574,1985,2
586,melbourne,mildura,Feb-85,3228,315,37.7,457,1475196,3912987,8562,1985,2
587,melbourne,perth,Feb-85,24209,215,84.4,2706,65509554,77617955,28684,1985,2
588,melbourne,sydney,Feb-85,162295,1412,72.7,706,114580270,157606974,223239,1985,2
